end_station_count,end_station_name,start_station_count,start_station_name,member_casual
180,Streeter Dr & Grand Ave,180,Streeter Dr & Grand Ave,casual
150,DuSable Lake Shore Dr & Monroe St,150,DuSable Lake Shore Dr & Monroe St,casual
124,State St & 33rd St,124,Calumet Ave & 33rd St,member
120,Ellis Ave & 60th St,120,University Ave & 57th St,member
116,University Ave & 57th St,116,Ellis Ave & 60th St,member
113,Calumet Ave & 33rd St,113,State St & 33rd St,member
112,Ellis Ave & 55th St,112,Ellis Ave & 60th St,member
91,Streeter Dr & Grand Ave,91,DuSable Lake Shore Dr & Monroe St,casual
88,Ellis Ave & 60th St,88,Ellis Ave & 55th St,member
87,Michigan Ave & Oak St,87,Michigan Ave & Oak St,casual
